            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  1.620828506603996E-02,  1.471003932512686E+08,  3.905250316936172E-03,  1.547305606243305E+02,  3.073073291226858E+02,  2.460312784364698E+06,  1.141597718744017E-05,  3.577468387437428E+02,  3.576723102792086E+02,  1.495239195637494E+08,  1.519474458762303E+08,  3.153475117277486E+07,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000,  1.635816913171205E-02,  1.471005881864904E+08,  4.068098918497669E-03,  1.516276036576697E+02,  3.102487988728049E+02,  2.460312625766405E+06,  1.141334570428249E-05,  3.588898670352037E+02,  3.588527925153277E+02,  1.495469016975829E+08,  1.519932152086755E+08,  3.154202188626613E+07,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000,  1.652243594782060E-02,  1.471006324561003E+08,  4.196301710087129E-03,  1.495548629803579E+02,  3.122233256667918E+02,  2.460312529346124E+06,  1.141048165344752E-05,  3.599710686653029E+02,  3.599700924892263E+02,  1.495719250066143E+08,  1.520432175571283E+08,  3.154993898887967E+07,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000,  1.669568409140402E-02,  1.471006239275672E+08,  4.275032311949434E-03,  1.484210637732191E+02,  3.133255741582200E+02,  2.460312498430654E+06,  1.140746769462748E-05,  9.871519645039158E-01,  1.020814502761067E+00,  1.495982693736505E+08,  1.520959148197337E+08,  3.155827477552686E+07,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000,  1.687217732615144E-02,  1.471006602808971E+08,  4.293195688995461E-03,  1.481753764411620E+02,  3.136079933559293E+02,  2.460312534596987E+06,  1.140439231628113E-05,  1.936589215083921E+00,  2.003331291578591E+00,  1.496251625559961E+08,  1.521496648310951E+08,  3.156678497337003E+07,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000,  1.704558675016477E-02,  1.471008345323927E+08,  4.243512394927811E-03,  1.488212616568084E+02,  3.130670285964782E+02,  2.460312637730209E+06,  1.140135483775621E-05,  2.819556304587272E+00,  2.917726802774279E+00,  1.496517361838269E+08,  1.522026378352611E+08,  3.157519480122136E+07,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000,  1.720874081611156E-02,  1.471012301211414E+08,  4.123297096793407E-03,  1.504254805663176E+02,  3.116337802339006E+02,  2.460312805700469E+06,  1.139847032317092E-05,  3.638249012678862E+00,  3.766126943478081E+00,  1.496769825194564E+08,  1.522527349177713E+08,  3.158318526900831E+07,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000,  1.735350511102484E-02,  1.471019143038710E+08,  3.936102217232619E-03,  1.531248715853273E+02,  3.091665146466584E+02,  2.460313033666263E+06,  1.139587243368789E-05,  4.397567285738035E+00,  4.553411296773891E+00,  1.496997293217754E+08,  1.522975443396799E+08,  3.159038521138466E+07,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000,  1.747095380592619E-02,  1.471029293253312E+08,  3.694067523976736E-03,  1.571249334441787E+02,  3.054511100815158E+02,  2.460313313124440E+06,  1.139371146702942E-05,  5.106046770154092E+00,  5.288183714525749E+00,  1.497186570668311E+08,  1.523343848083310E+08,  3.159637674183261E+07,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000,  1.755199887968251E-02,  1.471042821489102E+08,  3.420164913143579E-03,  1.626689303468426E+02,  3.002310128694303E+02,  2.460313630993074E+06,  1.139214460923450E-05,  5.776753733061680E+00,  5.983710557517240E+00,  1.497323847991572E+08,  1.523604874494042E+08,  3.160072245819132E+07,
